Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
10020;14-01-2019;08:48:57;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10021;14-01-2019;08:48:57;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10022;14-01-2019;08:48:57;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10023;14-01-2019;08:49:02;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10024;14-01-2019;08:49:02;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10025;14-01-2019;08:49:03;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10026;14-01-2019;08:49:04;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10027;14-01-2019;08:49:04;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10028;14-01-2019;08:49:57;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10029;14-01-2019;08:49:58;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10030;14-01-2019;08:49:58;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10031;14-01-2019;08:49:59;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10032;14-01-2019;08:50:06;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
10033;14-01-2019;08:50:07;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
10034;14-01-2019;08:50:07;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
10035;14-01-2019;08:50:08;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
10036;14-01-2019;08:52:04;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10037;14-01-2019;08:52:04;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10038;14-01-2019;08:52:04;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10039;14-01-2019;08:52:07;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10040;14-01-2019;08:52:07;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10041;14-01-2019;08:52:23;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
10042;14-01-2019;08:52:23;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
