Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
8164;14-12-2018;07:45:10;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8165;14-12-2018;07:45:10;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8166;14-12-2018;07:45:10;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8167;14-12-2018;07:45:12;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8168;14-12-2018;07:47:56;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8169;14-12-2018;07:47:57;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8170;14-12-2018;07:47:59;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8171;14-12-2018;07:47:59;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8172;14-12-2018;07:47:59;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8173;14-12-2018;08:05:54;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8174;14-12-2018;08:05:55;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8175;14-12-2018;08:05:56;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8176;14-12-2018;08:05:55;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8177;14-12-2018;08:05:56;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8178;14-12-2018;08:05:57;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8179;14-12-2018;08:08:13;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8180;14-12-2018;08:08:14;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8181;14-12-2018;08:08:15;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8182;14-12-2018;08:49:27;10;-;Trovan Unique;0007AFDEF7;-;00000000;00000000;-;""
8183;14-12-2018;08:56:48;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8184;14-12-2018;08:56:48;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8185;14-12-2018;08:56:48;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8186;14-12-2018;08:56:48;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8187;14-12-2018;08:56:49;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8188;14-12-2018;08:56:49;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8189;14-12-2018;08:56:50;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8190;14-12-2018;08:56:50;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8191;14-12-2018;08:56:50;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8192;14-12-2018;08:56:50;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8193;14-12-2018;08:56:50;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8194;14-12-2018;08:56:51;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8195;14-12-2018;08:56:52;20;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8196;14-12-2018;08:56:56;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8197;14-12-2018;08:56:57;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8198;14-12-2018;08:56:57;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8199;14-12-2018;08:56:57;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8200;14-12-2018;08:58:59;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8201;14-12-2018;08:58:59;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8202;14-12-2018;08:59:00;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8203;14-12-2018;08:59:01;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8204;14-12-2018;09:01:04;20;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8205;14-12-2018;09:01:04;20;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8206;14-12-2018;09:01:05;20;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8207;14-12-2018;09:01:06;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
8208;14-12-2018;09:21:37;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
8209;14-12-2018;09:21:38;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
