Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
7627;13-12-2018;07:39:00;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7628;13-12-2018;07:39:00;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7629;13-12-2018;07:39:01;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7630;13-12-2018;07:39:02;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7631;13-12-2018;07:39:02;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7632;13-12-2018;07:39:01;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7633;13-12-2018;07:39:02;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7634;13-12-2018;07:39:04;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7635;13-12-2018;07:40:08;10;-;Trovan Unique;0007B0C693;-;00000000;00000000;-;""
7636;13-12-2018;07:40:55;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7637;13-12-2018;07:40:55;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7638;13-12-2018;07:40:55;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7639;13-12-2018;07:40:56;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7640;13-12-2018;07:40:56;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7641;13-12-2018;07:40:57;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7642;13-12-2018;07:40:57;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7643;13-12-2018;07:40:57;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7644;13-12-2018;07:40:57;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7645;13-12-2018;07:40:57;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7646;13-12-2018;07:40:57;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7647;13-12-2018;07:40:58;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7648;13-12-2018;07:40:58;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7649;13-12-2018;07:40:59;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7650;13-12-2018;07:40:59;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7651;13-12-2018;07:40:59;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7652;13-12-2018;07:40:59;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7653;13-12-2018;07:40:59;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7654;13-12-2018;07:41:00;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7655;13-12-2018;07:41:00;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7656;13-12-2018;07:41:00;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7657;13-12-2018;07:41:01;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7658;13-12-2018;07:41:02;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7659;13-12-2018;07:41:02;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7660;13-12-2018;07:41:02;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7661;13-12-2018;07:41:02;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7662;13-12-2018;07:41:02;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7663;13-12-2018;07:41:02;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7664;13-12-2018;07:41:02;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7665;13-12-2018;07:41:03;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7666;13-12-2018;07:41:04;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7667;13-12-2018;07:41:04;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7668;13-12-2018;07:41:04;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7669;13-12-2018;07:41:04;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7670;13-12-2018;07:41:04;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7671;13-12-2018;07:41:04;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7672;13-12-2018;07:41:04;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7673;13-12-2018;07:41:05;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7674;13-12-2018;07:41:05;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7675;13-12-2018;07:41:06;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7676;13-12-2018;07:41:06;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7677;13-12-2018;07:41:06;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7678;13-12-2018;07:41:06;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7679;13-12-2018;07:41:07;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7680;13-12-2018;07:41:08;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7681;13-12-2018;07:41:08;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7682;13-12-2018;07:41:07;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7683;13-12-2018;07:41:08;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7684;13-12-2018;07:41:09;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7685;13-12-2018;07:41:09;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7686;13-12-2018;07:41:09;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7687;13-12-2018;07:41:09;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7688;13-12-2018;07:41:12;20;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7689;13-12-2018;07:41:14;20;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7690;13-12-2018;07:41:14;20;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7691;13-12-2018;07:41:43;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7692;13-12-2018;07:41:44;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7693;13-12-2018;07:41:45;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7694;13-12-2018;07:41:45;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7695;13-12-2018;07:41:44;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7696;13-12-2018;07:41:45;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7697;13-12-2018;07:41:46;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7698;13-12-2018;07:41:46;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7699;13-12-2018;07:41:46;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7700;13-12-2018;07:41:46;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7701;13-12-2018;07:41:46;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7702;13-12-2018;07:41:46;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7703;13-12-2018;07:41:46;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7704;13-12-2018;07:41:47;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7705;13-12-2018;07:41:47;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7706;13-12-2018;07:41:48;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7707;13-12-2018;07:41:48;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7708;13-12-2018;07:41:50;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7709;13-12-2018;07:42:06;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7710;13-12-2018;07:42:06;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7711;13-12-2018;07:42:07;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7712;13-12-2018;07:42:07;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7713;13-12-2018;07:42:08;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7714;13-12-2018;07:42:08;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7715;13-12-2018;07:42:16;30;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7716;13-12-2018;07:42:17;40;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7717;13-12-2018;07:42:20;20;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7718;13-12-2018;07:42:21;20;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7719;13-12-2018;07:42:20;20;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7720;13-12-2018;07:42:21;20;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7721;13-12-2018;07:42:22;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
7722;13-12-2018;07:43:11;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7723;13-12-2018;07:43:11;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7724;13-12-2018;07:43:12;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7725;13-12-2018;07:43:12;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7726;13-12-2018;07:43:13;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7727;13-12-2018;07:43:13;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7728;13-12-2018;07:44:15;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7729;13-12-2018;07:44:15;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7730;13-12-2018;07:44:15;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7731;13-12-2018;07:44:16;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7732;13-12-2018;07:44:37;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7733;13-12-2018;07:44:37;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7734;13-12-2018;07:44:38;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
7735;13-12-2018;08:09:28;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7736;13-12-2018;08:09:29;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7737;13-12-2018;08:09:30;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
7738;13-12-2018;08:09:30;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
