Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
9043;16-12-2018;07:41:01;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
9044;16-12-2018;07:41:01;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
9045;16-12-2018;07:41:02;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
9046;16-12-2018;07:41:02;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
9047;16-12-2018;07:41:02;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
9048;16-12-2018;07:41:03;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
9049;16-12-2018;07:41:04;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
9050;16-12-2018;07:41:04;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
9051;16-12-2018;07:41:05;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
9052;16-12-2018;07:42:36;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
9053;16-12-2018;07:42:36;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
9054;16-12-2018;07:42:39;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
9055;16-12-2018;07:42:39;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
9056;16-12-2018;07:42:39;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
9057;16-12-2018;07:42:39;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
9058;16-12-2018;07:42:40;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
9059;16-12-2018;07:42:58;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
9060;16-12-2018;07:42:58;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
9061;16-12-2018;07:42:59;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
9062;16-12-2018;07:42:59;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
9063;16-12-2018;07:43:44;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9064;16-12-2018;07:43:45;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9065;16-12-2018;07:43:45;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9066;16-12-2018;07:43:45;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9067;16-12-2018;07:43:45;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9068;16-12-2018;07:43:46;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9069;16-12-2018;07:43:46;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9070;16-12-2018;07:43:46;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9071;16-12-2018;07:43:46;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9072;16-12-2018;07:43:47;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9073;16-12-2018;07:43:47;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9074;16-12-2018;07:43:47;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9075;16-12-2018;07:43:48;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9076;16-12-2018;07:43:49;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9077;16-12-2018;07:43:49;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9078;16-12-2018;07:43:49;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9079;16-12-2018;07:43:49;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9080;16-12-2018;07:43:49;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9081;16-12-2018;07:43:50;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9082;16-12-2018;07:43:50;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9083;16-12-2018;07:43:50;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9084;16-12-2018;07:43:51;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9085;16-12-2018;07:43:51;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9086;16-12-2018;07:43:51;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
9087;16-12-2018;07:43:51;10;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
