Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
9034;29-11-2018;08:37:02;40;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9035;29-11-2018;08:37:03;40;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9036;29-11-2018;08:37:04;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9037;29-11-2018;08:37:04;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9038;29-11-2018;08:37:09;40;-;Trovan Unique;0007AC4333;-;00000000;00000000;-;""
9039;29-11-2018;08:37:47;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9040;29-11-2018;08:37:47;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9041;29-11-2018;08:37:48;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9042;29-11-2018;08:37:49;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9043;29-11-2018;08:37:49;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9044;29-11-2018;08:37:53;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9045;29-11-2018;08:37:54;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9046;29-11-2018;08:37:54;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9047;29-11-2018;08:37:55;40;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
9048;29-11-2018;08:43:05;10;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
9049;29-11-2018;08:43:05;10;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
9050;29-11-2018;08:43:07;20;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
9051;29-11-2018;08:43:58;20;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
9052;29-11-2018;08:43:59;20;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
9053;29-11-2018;08:43:59;20;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
9054;29-11-2018;08:43:59;40;-;Trovan Unique;0007ABB698;-;00000000;00000000;-;""
9055;29-11-2018;08:44:00;20;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
9056;29-11-2018;08:44:00;40;-;Trovan Unique;0007ABB698;-;00000000;00000000;-;""
