Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
11341;01-12-2018;08:43:53;40;-;Trovan Unique;0007AC2039;-;00000000;00000000;-;""
11342;01-12-2018;08:43:54;40;-;Trovan Unique;0007AC2039;-;00000000;00000000;-;""
11343;01-12-2018;08:43:55;30;-;Trovan Unique;0007AC2039;-;00000000;00000000;-;""
11344;01-12-2018;08:44:05;40;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11345;01-12-2018;08:44:09;40;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11346;01-12-2018;08:44:09;40;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11347;01-12-2018;08:44:20;30;-;Trovan Unique;0007AC2039;-;00000000;00000000;-;""
11348;01-12-2018;08:44:20;30;-;Trovan Unique;0007AC2039;-;00000000;00000000;-;""
11349;01-12-2018;08:44:21;30;-;Trovan Unique;0007AC2039;-;00000000;00000000;-;""
11350;01-12-2018;08:44:22;30;-;Trovan Unique;0007AC2039;-;00000000;00000000;-;""
11351;01-12-2018;08:44:22;30;-;Trovan Unique;0007AC2039;-;00000000;00000000;-;""
11352;01-12-2018;08:44:24;40;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11353;01-12-2018;08:44:24;40;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11354;01-12-2018;08:44:25;40;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11355;01-12-2018;08:44:27;30;-;Trovan Unique;0007AC2039;-;00000000;00000000;-;""
11356;01-12-2018;08:44:28;40;-;Trovan Unique;0007AC2039;-;00000000;00000000;-;""
11357;01-12-2018;08:44:52;40;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11358;01-12-2018;08:44:53;30;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11359;01-12-2018;08:44:53;30;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11360;01-12-2018;08:45:33;30;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11361;01-12-2018;08:45:34;30;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11362;01-12-2018;08:45:35;40;-;Trovan Unique;0007B01AEF;-;00000000;00000000;-;""
11363;01-12-2018;08:46:07;40;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
11364;01-12-2018;08:46:07;40;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
11365;01-12-2018;08:46:09;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
11366;01-12-2018;08:46:12;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11367;01-12-2018;08:46:12;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11368;01-12-2018;08:46:13;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11369;01-12-2018;08:46:13;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11370;01-12-2018;08:46:13;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11371;01-12-2018;08:46:14;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11372;01-12-2018;08:46:33;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11373;01-12-2018;08:46:34;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11374;01-12-2018;08:46:35;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11375;01-12-2018;08:46:35;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11376;01-12-2018;08:46:38;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11377;01-12-2018;08:46:39;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11378;01-12-2018;08:46:39;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11379;01-12-2018;08:46:39;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11380;01-12-2018;08:46:39;10;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11381;01-12-2018;08:46:40;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
11382;01-12-2018;08:46:40;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
11383;01-12-2018;08:46:41;20;-;Trovan Unique;0007B04C31;-;00000000;00000000;-;""
11384;01-12-2018;08:46:41;30;-;Trovan Unique;0007B0F2C5;-;00000000;00000000;-;""
