Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1865;23-12-2018;10:19:27;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1866;23-12-2018;10:19:27;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1867;23-12-2018;10:19:28;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1868;23-12-2018;10:19:28;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1869;23-12-2018;10:19:29;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1870;23-12-2018;10:19:29;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1871;23-12-2018;10:19:29;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1872;23-12-2018;10:19:30;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1873;23-12-2018;10:19:30;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1874;23-12-2018;10:19:31;20;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1875;23-12-2018;10:19:31;20;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1876;23-12-2018;10:21:28;20;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1877;23-12-2018;10:21:28;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1878;23-12-2018;10:21:29;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1879;23-12-2018;10:44:46;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1880;23-12-2018;10:44:48;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1881;23-12-2018;10:44:48;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1882;23-12-2018;10:44:48;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1883;23-12-2018;10:44:49;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1884;23-12-2018;10:44:49;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1885;23-12-2018;10:44:50;20;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1886;23-12-2018;10:44:50;20;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1887;23-12-2018;10:47:44;20;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1888;23-12-2018;10:47:45;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1889;23-12-2018;10:47:45;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1890;23-12-2018;11:06:17;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1891;23-12-2018;11:06:17;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1892;23-12-2018;11:06:17;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1893;23-12-2018;11:06:17;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1894;23-12-2018;11:06:18;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1895;23-12-2018;11:06:18;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1896;23-12-2018;11:06:18;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1897;23-12-2018;11:06:19;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1898;23-12-2018;11:06:19;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1899;23-12-2018;11:06:21;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1900;23-12-2018;11:07:00;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1901;23-12-2018;11:07:00;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1902;23-12-2018;11:07:01;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1903;23-12-2018;11:07:01;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1904;23-12-2018;11:07:02;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1905;23-12-2018;11:07:02;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1906;23-12-2018;11:09:29;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1907;23-12-2018;11:13:14;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1908;23-12-2018;11:13:14;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1909;23-12-2018;11:13:15;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1910;23-12-2018;11:13:15;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1911;23-12-2018;11:13:16;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1912;23-12-2018;11:13:16;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1913;23-12-2018;11:13:26;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1914;23-12-2018;11:13:26;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1915;23-12-2018;11:13:26;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1916;23-12-2018;11:13:27;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1917;23-12-2018;11:13:27;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1918;23-12-2018;11:13:27;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1919;23-12-2018;11:13:28;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1920;23-12-2018;11:13:28;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1921;23-12-2018;11:13:28;10;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1922;23-12-2018;11:13:29;20;-;Trovan Unique;0007AC386F;-;00000000;00000000;-;""
1923;23-12-2018;11:14:35;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1924;23-12-2018;11:14:35;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1925;23-12-2018;11:14:35;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1926;23-12-2018;11:14:35;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1927;23-12-2018;11:14:36;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1928;23-12-2018;11:14:36;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1929;23-12-2018;11:14:36;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1930;23-12-2018;11:14:38;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
1931;23-12-2018;11:14:38;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
