Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1;25-11-2018;16:16:44;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
2;25-11-2018;16:16:45;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
3;25-11-2018;16:16:46;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
4;25-11-2018;16:16:46;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
5;25-11-2018;16:16:47;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
6;25-11-2018;16:16:48;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
7;25-11-2018;16:16:49;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
8;25-11-2018;16:16:51;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
9;25-11-2018;16:16:51;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
10;25-11-2018;16:16:52;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
11;25-11-2018;16:16:53;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
12;25-11-2018;16:16:53;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
13;25-11-2018;16:16:54;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
14;25-11-2018;16:16:55;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
15;25-11-2018;16:16:56;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
16;25-11-2018;16:16:57;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
17;25-11-2018;16:16:57;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
18;25-11-2018;16:16:57;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
19;25-11-2018;16:16:59;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
20;25-11-2018;16:17:00;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
21;25-11-2018;16:17:01;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
22;25-11-2018;16:17:01;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
23;25-11-2018;16:17:02;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
24;25-11-2018;16:17:02;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
25;25-11-2018;16:17:03;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
26;25-11-2018;16:17:05;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
27;25-11-2018;16:17:07;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
28;25-11-2018;16:17:08;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
29;25-11-2018;16:17:07;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
