Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1790;30-11-2018;07:02:07;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1791;30-11-2018;07:02:08;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1792;30-11-2018;07:02:09;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1793;30-11-2018;07:02:09;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1794;30-11-2018;07:02:09;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1795;30-11-2018;07:02:10;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1796;30-11-2018;07:02:10;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1797;30-11-2018;07:02:10;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1798;30-11-2018;07:02:10;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1799;30-11-2018;07:02:10;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1800;30-11-2018;07:02:11;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1801;30-11-2018;07:02:11;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1802;30-11-2018;07:02:11;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1803;30-11-2018;07:02:11;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1804;30-11-2018;07:02:12;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1805;30-11-2018;07:02:12;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1806;30-11-2018;07:02:12;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1807;30-11-2018;07:02:12;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1808;30-11-2018;07:02:12;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1809;30-11-2018;07:02:12;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1810;30-11-2018;07:02:12;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1811;30-11-2018;07:02:13;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1812;30-11-2018;07:02:13;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1813;30-11-2018;07:02:14;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1814;30-11-2018;07:02:14;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1815;30-11-2018;07:02:14;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1816;30-11-2018;07:02:14;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1817;30-11-2018;07:02:15;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1818;30-11-2018;07:02:16;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1819;30-11-2018;07:02:16;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1820;30-11-2018;07:02:16;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1821;30-11-2018;07:02:17;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1822;30-11-2018;07:02:17;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1823;30-11-2018;07:02:17;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1824;30-11-2018;07:02:17;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1825;30-11-2018;07:02:17;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1826;30-11-2018;07:02:18;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1827;30-11-2018;07:02:18;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1828;30-11-2018;07:02:18;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1829;30-11-2018;07:02:19;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1830;30-11-2018;07:02:19;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1831;30-11-2018;07:02:19;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1832;30-11-2018;07:02:19;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1833;30-11-2018;07:02:19;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1834;30-11-2018;07:02:19;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1835;30-11-2018;07:02:19;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1836;30-11-2018;07:02:20;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1837;30-11-2018;07:02:20;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1838;30-11-2018;07:02:21;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1839;30-11-2018;07:02:21;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1840;30-11-2018;07:02:21;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1841;30-11-2018;07:02:22;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1842;30-11-2018;07:02:22;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1843;30-11-2018;07:02:23;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1844;30-11-2018;07:02:23;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1845;30-11-2018;07:02:23;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1846;30-11-2018;07:02:23;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1847;30-11-2018;07:02:24;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1848;30-11-2018;07:02:24;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1849;30-11-2018;07:02:24;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1850;30-11-2018;07:02:24;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1851;30-11-2018;07:02:24;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1852;30-11-2018;07:02:24;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1853;30-11-2018;07:02:24;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1854;30-11-2018;07:02:25;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1855;30-11-2018;07:02:25;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1856;30-11-2018;07:02:26;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
1857;30-11-2018;07:02:26;10;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
