Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
2477;01-02-2019;08:52:08;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2478;01-02-2019;08:52:08;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2479;01-02-2019;08:52:09;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2480;01-02-2019;08:52:09;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2481;01-02-2019;08:52:09;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2482;01-02-2019;08:52:09;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2483;01-02-2019;08:52:10;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2484;01-02-2019;08:52:10;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2485;01-02-2019;08:52:10;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2486;01-02-2019;08:52:13;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2487;01-02-2019;08:52:14;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2488;01-02-2019;08:52:15;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2489;01-02-2019;08:52:15;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2490;01-02-2019;08:52:16;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2491;01-02-2019;08:52:17;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2492;01-02-2019;08:52:18;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2493;01-02-2019;08:52:18;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2494;01-02-2019;08:52:29;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2495;01-02-2019;08:52:29;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2496;01-02-2019;08:52:30;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2497;01-02-2019;08:52:35;10;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
2498;01-02-2019;08:52:39;10;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
2499;01-02-2019;08:52:40;10;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
2500;01-02-2019;08:52:40;10;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
2501;01-02-2019;08:52:50;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2502;01-02-2019;08:52:51;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2503;01-02-2019;08:52:52;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2504;01-02-2019;08:52:53;40;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
2505;01-02-2019;08:52:53;40;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
2506;01-02-2019;08:52:54;30;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
2507;01-02-2019;08:52:55;30;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
2508;01-02-2019;08:53:06;30;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
2509;01-02-2019;08:53:06;30;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
2510;01-02-2019;08:53:07;30;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
2511;01-02-2019;08:53:09;40;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
2512;01-02-2019;08:53:15;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2513;01-02-2019;08:53:16;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2514;01-02-2019;08:54:21;10;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
2515;01-02-2019;08:54:21;10;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
2516;01-02-2019;08:54:55;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2517;01-02-2019;08:54:56;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2518;01-02-2019;08:54:56;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2519;01-02-2019;08:54:56;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2520;01-02-2019;08:54:57;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2521;01-02-2019;08:54:58;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2522;01-02-2019;08:54:58;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2523;01-02-2019;08:54:58;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2524;01-02-2019;08:54:58;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2525;01-02-2019;08:54:58;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2526;01-02-2019;08:54:59;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2527;01-02-2019;08:55:00;20;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2528;01-02-2019;08:55:00;20;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2529;01-02-2019;08:55:01;20;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2530;01-02-2019;08:55:01;20;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2531;01-02-2019;08:55:02;20;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2532;01-02-2019;08:55:02;20;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2533;01-02-2019;08:55:39;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2534;01-02-2019;08:55:39;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2535;01-02-2019;08:55:39;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2536;01-02-2019;08:55:40;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2537;01-02-2019;08:55:41;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2538;01-02-2019;08:55:41;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2539;01-02-2019;08:55:41;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2540;01-02-2019;08:55:43;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2541;01-02-2019;08:56:06;20;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2542;01-02-2019;08:56:06;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2543;01-02-2019;08:56:07;10;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
2544;01-02-2019;08:56:08;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2545;01-02-2019;08:56:09;20;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2546;01-02-2019;08:56:09;10;-;Trovan Unique;0007ACD286;-;00000000;00000000;-;""
2547;01-02-2019;08:58:23;10;-;Trovan Unique;000783C04D;-;00000000;00000000;-;""
2548;01-02-2019;08:58:23;10;-;Trovan Unique;000783C04D;-;00000000;00000000;-;""
2549;01-02-2019;08:58:24;10;-;Trovan Unique;000783C04D;-;00000000;00000000;-;""
2550;01-02-2019;08:58:24;10;-;Trovan Unique;000783C04D;-;00000000;00000000;-;""
2551;01-02-2019;08:58:24;10;-;Trovan Unique;000783C04D;-;00000000;00000000;-;""
2552;01-02-2019;08:58:25;10;-;Trovan Unique;000783C04D;-;00000000;00000000;-;""
