BirdID,Cohort,Sex
507,2013,1
616,2014,1
513,2013,1
544,2013,1
503,2013,1
536,2013,1
603,2014,1
506,2013,0
508,2013,0
537,2013,0
524,2013,0
517,2013,0
532,2013,0
556,2013,0
546,2013,0
