Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1;04-01-2019;14:18:45;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
2;04-01-2019;14:19:03;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
3;04-01-2019;14:19:04;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
4;04-01-2019;15:08:49;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
5;04-01-2019;15:08:49;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
6;04-01-2019;15:08:49;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
7;04-01-2019;15:08:49;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
8;04-01-2019;15:08:50;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
9;04-01-2019;15:08:51;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
10;04-01-2019;15:08:51;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
11;04-01-2019;15:08:51;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
12;04-01-2019;15:08:51;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
13;04-01-2019;15:08:51;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
14;04-01-2019;15:08:52;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
15;04-01-2019;15:08:52;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
16;04-01-2019;15:08:52;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
17;04-01-2019;15:08:53;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
18;04-01-2019;15:08:54;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
19;04-01-2019;15:08:54;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
20;04-01-2019;15:08:54;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
21;04-01-2019;15:08:54;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
22;04-01-2019;15:08:54;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
23;04-01-2019;15:08:54;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
24;04-01-2019;15:08:59;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
25;04-01-2019;15:09:00;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
26;04-01-2019;15:09:00;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
27;04-01-2019;15:09:00;10;-;Trovan Unique;000783CF1A;-;00000000;00000000;-;""
