Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
6656;14-02-2019;09:17:04;10;-;Trovan Unique;0007B019EF;-;00000000;00000000;-;""
6657;14-02-2019;09:17:04;10;-;Trovan Unique;0007B019EF;-;00000000;00000000;-;""
6658;14-02-2019;09:45:47;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6659;14-02-2019;09:45:48;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6660;14-02-2019;09:45:52;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6661;14-02-2019;09:45:53;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6662;14-02-2019;09:45:58;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6663;14-02-2019;09:45:59;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6664;14-02-2019;09:46:01;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6665;14-02-2019;09:46:02;40;-;Trovan Unique;0007ACDAC3;-;00000000;00000000;-;""
6666;14-02-2019;13:01:15;10;-;Trovan Unique;0007B0C62E;-;00000000;00000000;-;""
6667;14-02-2019;14:08:17;10;-;Trovan Unique;0007B0C62E;-;00000000;00000000;-;""
6668;14-02-2019;16:06:34;10;-;Trovan Unique;0007B019EF;-;00000000;00000000;-;""
6669;14-02-2019;16:07:40;10;-;Trovan Unique;0007ABAEC7;-;00000000;00000000;-;""
