Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
4460;15-12-2018;09:01:07;10;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
4461;15-12-2018;09:01:07;10;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
4462;15-12-2018;09:01:08;10;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
4463;15-12-2018;09:01:08;10;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
4464;15-12-2018;09:01:09;20;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
4465;15-12-2018;09:01:09;10;-;Trovan Unique;0007B117A4;-;00000000;00000000;-;""
4466;15-12-2018;09:02:31;20;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
4467;15-12-2018;09:02:31;20;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
4468;15-12-2018;09:02:32;20;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
4469;15-12-2018;09:02:33;10;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
4470;15-12-2018;09:02:33;10;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
4471;15-12-2018;09:20:46;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4472;15-12-2018;09:20:46;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4473;15-12-2018;09:20:46;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4474;15-12-2018;09:20:47;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4475;15-12-2018;09:20:47;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4476;15-12-2018;09:20:47;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4477;15-12-2018;09:20:48;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4478;15-12-2018;09:20:48;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4479;15-12-2018;09:20:48;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4480;15-12-2018;09:20:49;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4481;15-12-2018;09:23:36;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4482;15-12-2018;09:23:41;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4483;15-12-2018;09:23:41;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4484;15-12-2018;09:23:41;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4485;15-12-2018;09:23:42;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4486;15-12-2018;09:23:42;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4487;15-12-2018;09:23:42;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4488;15-12-2018;09:23:43;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4489;15-12-2018;09:23:44;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4490;15-12-2018;09:23:44;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
4491;15-12-2018;09:23:45;10;-;Trovan Unique;0007AC92A2;-;00000000;00000000;-;""
