,time_in,time_out,id,visit_time
0,2019-02-24 07:55:57,2019-02-24 07:57:19,0007AC9031,0 days 00:01:22.000000000
0,2019-02-24 08:02:52,2019-02-24 08:03:18,0007AC93ED,0 days 00:00:26.000000000
0,2019-02-24 08:03:54,2019-02-24 08:04:24,0007AC8CF6,0 days 00:00:30.000000000
0,2019-02-24 08:30:11,2019-02-24 08:32:23,0007AC7B4A,0 days 00:02:12.000000000
0,2019-02-24 08:31:01,2019-02-24 08:31:36,0007AC403D,0 days 00:00:35.000000000
0,2019-02-24 08:45:31,2019-02-24 08:46:13,0007ABA0DB,0 days 00:00:42.000000000
0,2019-02-24 09:00:51,2019-02-24 09:02:03,0007AC8CF6,0 days 00:01:12.000000000
0,2019-02-24 09:06:01,2019-02-24 09:06:13,0007AC93ED,0 days 00:00:12.000000000
0,2019-02-24 09:35:31,2019-02-24 09:36:19,0007AC9031,0 days 00:00:48.000000000
0,2019-02-24 09:36:26,2019-02-24 09:37:13,00079D4F7C,0 days 00:00:47.000000000
0,2019-02-24 09:37:26,2019-02-24 09:38:02,0007AC4333,0 days 00:00:36.000000000
0,2019-02-24 09:39:03,2019-02-24 09:41:42,0007AC7B4A,0 days 00:02:39.000000000
0,2019-02-24 09:53:59,2019-02-24 09:55:01,0007ABA0DB,0 days 00:01:02.000000000
0,2019-02-24 09:54:37,2019-02-24 09:55:02,0007AC93ED,0 days 00:00:25.000000000
0,2019-02-24 10:25:00,2019-02-24 10:25:38,0007AC8CF6,0 days 00:00:38.000000000
0,2019-02-24 10:59:22,2019-02-24 11:00:04,0007AC9031,0 days 00:00:42.000000000
0,2019-02-24 11:23:08,2019-02-24 11:23:26,0007ABA0DB,0 days 00:00:18.000000000
0,2019-02-24 11:25:41,2019-02-24 11:26:13,0007AC93ED,0 days 00:00:32.000000000
0,2019-02-24 11:36:53,2019-02-24 11:37:33,0007AC8CF6,0 days 00:00:40.000000000
0,2019-02-24 11:36:55,2019-02-24 11:38:23,0007AC4333,0 days 00:01:28.000000000
0,2019-02-24 11:37:22,2019-02-24 11:37:51,00079D4F7C,0 days 00:00:29.000000000
0,2019-02-24 11:38:56,2019-02-24 11:40:59,0007AC7B4A,0 days 00:02:03.000000000
0,2019-02-24 12:05:20,2019-02-24 12:05:45,0007ABA0DB,0 days 00:00:25.000000000
0,2019-02-24 12:56:31,2019-02-24 12:56:58,0007AC9031,0 days 00:00:27.000000000
0,2019-02-24 12:57:42,2019-02-24 12:58:11,0007AC403D,0 days 00:00:29.000000000
0,2019-02-24 13:04:11,2019-02-24 14:27:57,0007ABA0DB,0 days 01:23:46.000000000
0,2019-02-24 13:15:28,2019-02-24 13:15:43,0007AC93ED,0 days 00:00:15.000000000
0,2019-02-24 13:25:30,2019-02-24 13:26:09,0007AC8CF6,0 days 00:00:39.000000000
0,2019-02-24 13:53:25,2019-02-24 13:56:30,0007B117A4,0 days 00:03:05.000000000
0,2019-02-24 13:53:37,2019-02-24 13:56:09,0007AC7B4A,0 days 00:02:32.000000000
0,2019-02-24 13:59:30,2019-02-24 14:00:40,0007AC93ED,0 days 00:01:10.000000000
0,2019-02-24 14:15:19,2019-02-24 14:16:00,0007AC9031,0 days 00:00:41.000000000
0,2019-02-24 14:16:59,2019-02-24 14:17:36,0007AC403D,0 days 00:00:37.000000000
0,2019-02-24 14:28:14,2019-02-24 14:28:46,0007ABA0DB,0 days 00:00:32.000000000
0,2019-02-24 14:39:50,2019-02-24 14:40:27,00079D4F7C,0 days 00:00:37.000000000
0,2019-02-24 15:17:09,2019-02-24 15:18:09,0007AC8CF6,0 days 00:01:00.000000000
0,2019-02-24 15:31:00,2019-02-24 15:32:35,0007AC7B4A,0 days 00:01:35.000000000
0,2019-02-24 15:31:42,2019-02-24 15:32:05,0007AC403D,0 days 00:00:23.000000000
0,2019-02-24 15:49:05,2019-02-24 15:49:43,0007ABA0DB,0 days 00:00:38.000000000
0,2019-02-24 15:52:22,2019-02-24 15:52:50,0007AC9031,0 days 00:00:28.000000000
