,time_in,time_out,id,visit_time
0,2019-02-22 08:03:11,2019-02-22 08:03:43,0007AC9031,0 days 00:00:32.000000000
0,2019-02-22 08:20:00,2019-02-22 08:21:49,0007AC7B4A,0 days 00:01:49.000000000
0,2019-02-22 08:21:14,2019-02-22 08:23:10,0007AC93ED,0 days 00:01:56.000000000
0,2019-02-22 08:23:06,2019-02-22 09:12:50,0007AC403D,0 days 00:49:44.000000000
0,2019-02-22 08:42:45,2019-02-22 08:43:00,0007AC9031,0 days 00:00:15.000000000
0,2019-02-22 08:47:35,2019-02-22 08:48:04,0007AC8CF6,0 days 00:00:29.000000000
0,2019-02-22 08:49:13,2019-02-22 08:50:11,0007AC9031,0 days 00:00:58.000000000
0,2019-02-22 08:50:02,2019-02-22 08:50:26,0007ABA0DB,0 days 00:00:24.000000000
0,2019-02-22 09:15:56,2019-02-22 09:18:49,0007AC7B4A,0 days 00:02:53.000000000
0,2019-02-22 09:17:14,2019-02-22 09:20:57,0007AC93ED,0 days 00:03:43.000000000
0,2019-02-22 09:18:27,2019-02-22 09:18:51,0007AC403D,0 days 00:00:24.000000000
0,2019-02-22 09:50:31,2019-02-22 09:50:57,0007AC9031,0 days 00:00:26.000000000
0,2019-02-22 09:55:31,2019-02-22 09:56:07,0007AC8CF6,0 days 00:00:36.000000000
0,2019-02-22 09:56:42,2019-02-22 09:58:24,00079D4F7C,0 days 00:01:42.000000000
0,2019-02-22 10:02:40,2019-02-22 10:05:53,0007AC7B4A,0 days 00:03:13.000000000
0,2019-02-22 10:28:41,2019-02-22 10:28:57,0007AC9031,0 days 00:00:16.000000000
0,2019-02-22 10:31:27,2019-02-22 10:34:43,0007AC93ED,0 days 00:03:16.000000000
0,2019-02-22 10:31:33,2019-02-22 10:32:09,0007AC403D,0 days 00:00:36.000000000
0,2019-02-22 10:53:36,2019-02-22 10:53:37,0007AC9031,0 days 00:00:01.000000000
0,2019-02-22 11:11:11,2019-02-22 11:11:41,0007AC9031,0 days 00:00:30.000000000
0,2019-02-22 11:11:14,2019-02-22 11:22:14,0007B117A4,0 days 00:11:00.000000000
0,2019-02-22 11:13:04,2019-02-22 11:13:33,0007AC8CF6,0 days 00:00:29.000000000
0,2019-02-22 11:13:23,2019-02-22 11:14:11,0007AC4333,0 days 00:00:48.000000000
0,2019-02-22 11:15:03,2019-02-22 11:15:32,0007ABA0DB,0 days 00:00:29.000000000
0,2019-02-22 11:17:37,2019-02-22 11:20:08,0007AC7B4A,0 days 00:02:31.000000000
0,2019-02-22 11:50:41,2019-02-22 11:51:56,0007AC93ED,0 days 00:01:15.000000000
0,2019-02-22 11:56:09,2019-02-22 11:57:37,00079D4F7C,0 days 00:01:28.000000000
0,2019-02-22 11:56:45,2019-02-22 11:57:19,0007AC403D,0 days 00:00:34.000000000
0,2019-02-22 12:03:55,2019-02-22 12:04:25,0007AC8CF6,0 days 00:00:30.000000000
0,2019-02-22 12:30:17,2019-02-22 12:30:43,0007AC9031,0 days 00:00:26.000000000
0,2019-02-22 12:39:54,2019-02-22 12:40:42,0007AC93ED,0 days 00:00:48.000000000
0,2019-02-22 12:51:30,2019-02-22 12:54:19,0007AC7B4A,0 days 00:02:49.000000000
0,2019-02-22 12:55:51,2019-02-22 12:56:32,0007AC8CF6,0 days 00:00:41.000000000
0,2019-02-22 13:20:14,2019-02-22 13:20:56,0007AC9031,0 days 00:00:42.000000000
0,2019-02-22 13:23:10,2019-02-22 13:23:45,0007AC403D,0 days 00:00:35.000000000
0,2019-02-22 13:25:08,2019-02-22 13:25:43,0007AC93ED,0 days 00:00:35.000000000
0,2019-02-22 13:35:28,2019-02-22 13:35:58,0007ABA0DB,0 days 00:00:30.000000000
0,2019-02-22 14:17:38,2019-02-22 14:18:05,0007AC8CF6,0 days 00:00:27.000000000
0,2019-02-22 14:38:17,2019-02-22 14:38:55,0007AC9031,0 days 00:00:38.000000000
0,2019-02-22 14:38:28,2019-02-22 14:38:52,0007AC403D,0 days 00:00:24.000000000
0,2019-02-22 14:58:52,2019-02-22 14:59:32,0007ABA0DB,0 days 00:00:40.000000000
0,2019-02-22 14:59:58,2019-02-22 15:01:32,00079D4F7C,0 days 00:01:34.000000000
0,2019-02-22 15:03:19,2019-02-22 15:03:23,0007AC93ED,0 days 00:00:04.000000000
0,2019-02-22 15:03:29,2019-02-22 15:06:54,0007AC7B4A,0 days 00:03:25.000000000
0,2019-02-22 15:03:40,2019-02-22 15:03:52,0007AC93ED,0 days 00:00:12.000000000
0,2019-02-22 15:04:11,2019-02-22 15:04:23,0007AC93ED,0 days 00:00:12.000000000
0,2019-02-22 15:04:49,2019-02-22 15:05:09,0007AC93ED,0 days 00:00:20.000000000
0,2019-02-22 15:23:24,2019-02-22 15:23:59,0007AC8CF6,0 days 00:00:35.000000000
0,2019-02-22 15:24:32,2019-02-22 15:25:19,0007AC9031,0 days 00:00:47.000000000
0,2019-02-22 15:53:05,2019-02-22 16:34:59,0007AC403D,0 days 00:41:54.000000000
0,2019-02-22 15:58:46,2019-02-22 15:58:52,0007AC93ED,0 days 00:00:06.000000000
0,2019-02-22 16:19:16,2019-02-22 16:19:17,0007AC93ED,0 days 00:00:01.000000000
0,2019-02-22 16:30:44,2019-02-22 16:31:27,0007AC93ED,0 days 00:00:43.000000000
0,2019-02-22 16:31:49,2019-02-22 16:32:23,0007AC9031,0 days 00:00:34.000000000
0,2019-02-22 16:33:42,2019-02-22 16:35:36,0007AC7B4A,0 days 00:01:54.000000000
0,2019-02-22 16:34:37,2019-02-22 16:34:58,0007AC8CF6,0 days 00:00:21.000000000
0,2019-02-22 16:35:00,2019-02-22 16:35:32,0007AC403D,0 days 00:00:32.000000000
0,2019-02-22 16:40:49,2019-02-22 16:42:26,00079D4F7C,0 days 00:01:37.000000000
0,2019-02-22 16:41:12,2019-02-22 16:42:15,0007ABA0DB,0 days 00:01:03.000000000
0,2019-02-22 17:16:26,2019-02-22 17:16:43,0007AC8CF6,0 days 00:00:17.000000000
0,2019-02-22 17:22:23,2019-02-22 17:25:22,0007AC7B4A,0 days 00:02:59.000000000
0,2019-02-22 17:22:25,2019-02-22 17:27:46,0007B117A4,0 days 00:05:21.000000000
0,2019-02-22 17:22:49,2019-02-22 17:23:16,0007AC9031,0 days 00:00:27.000000000
0,2019-02-22 17:25:17,2019-02-22 17:25:40,0007AC403D,0 days 00:00:23.000000000
0,2019-02-22 17:37:12,2019-02-22 17:37:33,0007ABA0DB,0 days 00:00:21.000000000
