Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
33;01-02-2019;07:13:47;40;-;Trovan Unique;000783BFB7;-;00000000;00000000;-;""
34;01-02-2019;07:13:49;40;-;Trovan Unique;000783BFB7;-;00000000;00000000;-;""
35;01-02-2019;07:21:33;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
36;01-02-2019;07:21:33;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
37;01-02-2019;07:21:35;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
38;01-02-2019;07:21:36;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
39;01-02-2019;07:21:41;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
40;01-02-2019;07:21:42;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
41;01-02-2019;07:21:43;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
42;01-02-2019;07:21:43;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
43;01-02-2019;07:24:09;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
44;01-02-2019;07:27:02;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
45;01-02-2019;07:27:03;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
46;01-02-2019;07:27:05;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
47;01-02-2019;07:27:06;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
48;01-02-2019;07:27:07;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
49;01-02-2019;07:27:08;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
50;01-02-2019;07:27:08;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
51;01-02-2019;07:27:09;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
52;01-02-2019;07:27:10;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
53;01-02-2019;07:27:10;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
54;01-02-2019;07:27:11;40;-;Trovan Unique;0007B04908;-;00000000;00000000;-;""
