Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1299;16-11-2018;08:32:49;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1300;16-11-2018;08:32:50;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1301;16-11-2018;08:32:50;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1302;16-11-2018;08:32:51;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1303;16-11-2018;08:32:51;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1304;16-11-2018;08:32:52;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1305;16-11-2018;08:32:52;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1306;16-11-2018;08:32:54;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1307;16-11-2018;08:32:54;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1308;16-11-2018;08:32:54;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1309;16-11-2018;08:33:11;40;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1310;16-11-2018;08:33:11;40;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1311;16-11-2018;08:33:12;30;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1312;16-11-2018;08:33:12;30;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1313;16-11-2018;08:34:08;40;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
1314;16-11-2018;08:34:09;40;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
1315;16-11-2018;08:34:10;40;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
1316;16-11-2018;08:34:24;40;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
1317;16-11-2018;08:34:25;40;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
1318;16-11-2018;08:34:28;40;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
1319;16-11-2018;08:34:29;40;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
1320;16-11-2018;08:34:29;30;-;Trovan Unique;00079D4DD3;-;00000000;00000000;-;""
1321;16-11-2018;08:36:26;20;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1322;16-11-2018;08:36:27;20;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1323;16-11-2018;08:36:27;20;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1324;16-11-2018;08:36:28;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1325;16-11-2018;08:36:28;10;-;Trovan Unique;0007ACC9FC;-;00000000;00000000;-;""
1326;16-11-2018;08:37:17;10;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
1327;16-11-2018;08:37:17;10;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
1328;16-11-2018;08:37:17;10;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
1329;16-11-2018;08:37:17;10;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
1330;16-11-2018;08:37:18;10;-;Trovan Unique;000783A8B7;-;00000000;00000000;-;""
